X,	Y,	Z,	Resultado	
1,	2,	-0.5,	14.8845	
1,	2,	0,	15.2548	
1,	2,	0.5,	14.893	
1,	2,	1,	13.9364	
1,	2,	1.5,	12.6817	
1,	2,	2,	11.3845	
1.5,	-2,	-2,	10.6768	
1.5,	-2,	-1.5,	11.726	
1.5,	-2,	-1,	12.6992	
1.5,	-2,	-0.5,	13.4144	
1.5,	-2,	0,	13.6811	
1.5,	-2,	0.5,	13.4146	
1.5,	-2,	1,	12.6999	
1.5,	-2,	1.5,	11.7274	
1.5,	-2,	2,	10.6786	
1.5,	-1.5,	-2,	11.7204	
1.5,	-1.5,	-1.5,	13.1535	
1.5,	-1.5,	-1,	14.5748	
1.5,	-1.5,	-0.5,	15.687	
1.5,	-1.5,	0,	16.1178	
1.5,	-1.5,	0.5,	15.6856	
1.5,	-1.5,	1,	14.5743	
1.5,	-1.5,	1.5,	13.1545	
1.5,	-1.5,	2,	11.7223	
1.5,	-1,	-2,	12.6848	
1.5,	-1,	-1.5,	14.5631	
1.5,	-1,	-1,	16.5693	
1.5,	-1,	-0.5,	18.2627	
1.5,	-1,	0,	18.9509	
1.5,	-1,	0.5,	18.2565	
1.5,	-1,	1,	16.5657	
1.5,	-1,	1.5,	14.5635	
1.5,	-1,	2,	12.6869	
1.5,	-0.5,	-2,	13.3895	
1.5,	-0.5,	-1.5,	15.6584	
1.5,	-0.5,	-1,	18.2387	
1.5,	-0.5,	-0.5,	20.5758	
1.5,	-0.5,	0,	21.575	
1.5,	-0.5,	0.5,	20.5661	
1.5,	-0.5,	1,	18.2344	
1.5,	-0.5,	1.5,	15.6596	
1.5,	-0.5,	2,	13.3925	
1.5,	0,	-2,	13.6481	
1.5,	0,	-1.5,	16.0746	
1.5,	0,	-1,	18.9014	
1.5,	0,	-0.5,	21.5375	
1.5,	0,	0,	22.6971	
1.5,	0,	0.5,	21.5407	
1.5,	0,	1,	18.9077	
1.5,	0,	1.5,	16.0808	
1.5,	0,	2,	13.6533	
1.5,	0.5,	-2,	13.3794	
1.5,	0.5,	-1.5,	15.6388	
1.5,	0.5,	-1,	18.2003	
1.5,	0.5,	-0.5,	20.5149	
1.5,	0.5,	0,	21.5147	
1.5,	0.5,	0.5,	20.5319	
1.5,	0.5,	1,	18.2185	
1.5,	0.5,	1.5,	15.6509	
1.5,	0.5,	2,	13.3871	
1.5,	1,	-2,	12.6684	
1.5,	1,	-1.5,	14.5345	
1.5,	1,	-1,	16.5204	
1.5,	1,	-0.5,	18.1937	
1.5,	1,	0,	18.8832	
1.5,	1,	0.5,	18.2107	
1.5,	1,	1,	16.5394	
1.5,	1,	1.5,	14.5479	
1.5,	1,	2,	12.6771	
