X	Y	Z	Resultado	
-9	1	0	4.35406	
-9	1	1	4.32289	
-9	1	2	4.24261	
-9	1	3	4.12107	
-9	1	4	3.96877	
-9	1	5	3.79666	
-9	1	6	3.61452	
-9	1	7	3.43016	
-9	1	8	3.2492	
-9	1	9	3.07535	
-9	1	10	2.91079	
-9	2	-10	2.91747	
-9	2	-9	3.07977	
-9	2	-8	3.25033	
-9	2	-7	3.42669	
-9	2	-6	3.60487	
-9	2	-5	3.77901	
-9	2	-4	3.94125	
-9	2	-3	4.08204	
-9	2	-2	4.19107	
-9	2	-1	4.25895	
-9	2	0	4.27912	
-9	2	1	4.24954	
-9	2	2	4.17321	
-9	2	3	4.05738	
-9	2	4	3.91178	
-9	2	5	3.74665	
-9	2	6	3.57128	
-9	2	7	3.39313	
-9	2	8	3.21767	
-9	2	9	3.04856	
-9	2	10	2.88804	
-9	3	-10	2.8791	
-9	3	-9	3.03474	
-9	3	-8	3.19753	
-9	3	-7	3.36501	
-9	3	-6	3.53327	
-9	3	-5	3.69679	
-9	3	-4	3.84827	
-9	3	-3	3.97902	
-9	3	-2	4.07984	
-9	3	-1	4.14241	
-9	3	0	4.16098	
-9	3	1	4.13379	
-9	3	2	4.06343	
-9	3	3	3.95627	
-9	3	4	3.82092	
-9	3	5	3.66659	
-9	3	6	3.50173	
-9	3	7	3.33329	
-9	3	8	3.16649	
-9	3	9	3.00493	
-9	3	10	2.85085	
-9	4	-10	2.8276	
-9	4	-9	2.97462	
-9	4	-8	3.12745	
-9	4	-7	3.28361	
-9	4	-6	3.43941	
-9	4	-5	3.5897	
-9	4	-4	3.72792	
-9	4	-3	3.84644	
-9	4	-2	3.93731	
-9	4	-1	3.99348	
-9	4	0	4.01014	
-9	4	1	3.98579	
-9	4	2	3.92262	
-9	4	3	3.82596	
-9	4	4	3.70314	
-9	4	5	3.56212	
-9	4	6	3.41038	
-9	4	7	3.2542	
-9	4	8	3.09845	
-9	4	9	2.94659	
-9	4	10	2.80088	
-9	5	-10	2.76513	
-9	5	-9	2.90214	
-9	5	-8	3.04354	
-9	5	-7	3.18691	
-9	5	-6	3.32876	
-9	5	-5	3.46444	
-9	5	-4	3.58822	
-9	5	-3	3.69355	
-9	5	-2	3.77381	
-9	5	-1	3.8232	
-9	5	0	3.83783	
-9	5	1	3.81648	
-9	5	2	3.76092	
-9	5	3	3.67548	
-9	5	4	3.56619	
-9	5	5	3.43972	
-9	5	6	3.3025	
-9	5	7	3.16007	
-9	5	8	3.01687	
-9	5	9	2.87615	
-9	5	10	2.74017	
-9	6	-10	2.694	
-9	6	-9	2.82023	
-9	6	-8	2.94947	
-9	6	-7	3.07939	
-9	6	-6	3.20679	
-9	6	-5	3.32758	
-9	6	-4	3.4368	
-9	6	-3	3.52903	
-9	6	-2	3.59885	
-9	6	-1	3.64162	
-9	6	0	3.65427	
-9	6	1	3.63584	
-9	6	2	3.58771	
-9	6	3	3.51332	
-9	6	4	3.4175	
-9	6	5	3.30572	
-9	6	6	3.18336	
-9	6	7	3.05521	
-9	6	8	2.92522	
-9	6	9	2.79641	
-9	6	10	2.67095	
-9	7	-10	2.61654	
-9	7	-9	2.73173	
-9	7	-8	2.84868	
-9	7	-7	2.96521	
-9	7	-6	3.07845	
-9	7	-5	3.18483	
-9	7	-4	3.28021	
-9	7	-3	3.36011	
-9	7	-2	3.42022	
-9	7	-1	3.45688	
-9	7	0	3.4677	
-9	7	1	3.45195	
-9	7	2	3.41069	
-9	7	3	3.34659	
-9	7	4	3.26346	
-9	7	5	3.1657	
-9	7	6	3.05775	
-9	7	7	2.94366	
-9	7	8	2.82686	
-9	7	9	2.71011	
-9	7	10	2.59544	
-9	8	-10	2.5349	
-9	8	-9	2.63921	
-9	8	-8	2.74422	
-9	8	-7	2.84794	
-9	8	-6	2.94782	
-9	8	-5	3.04082	
-9	8	-4	3.12351	
-9	8	-3	3.19228	
-9	8	-2	3.24369	
-9	8	-1	3.27492	
-9	8	0	3.28412	
-9	8	1	3.27074	
-9	8	2	3.23558	
-9	8	3	3.1807	
-9	8	4	3.10908	
-9	8	5	3.0242	
-9	8	6	2.92967	
-9	8	7	2.82886	
-9	8	8	2.72474	
-9	8	9	2.61972	
-9	8	10	2.51572	
-9	9	-10	2.45096	
-9	9	-9	2.54487	
-9	9	-8	2.63862	
-9	9	-7	2.73042	
-9	9	-6	2.81806	
-9	9	-5	2.89899	
-9	9	-4	2.97038	
-9	9	-3	3.02933	
-9	9	-2	3.07316	
-9	9	-1	3.09968	
-9	9	0	3.10749	
-9	9	1	3.09615	
-9	9	2	3.06628	
-9	9	3	3.01945	
-9	9	4	2.95798	
-9	9	5	2.88461	
-9	9	6	2.80223	
-9	9	7	2.71362	
-9	9	8	2.62131	
-9	9	9	2.52741	
-9	9	10	2.43364	
-9	10	-10	2.3663	
-9	10	-9	2.45048	
-9	10	-8	2.53385	
-9	10	-7	2.61481	
-9	10	-6	2.69148	
-9	10	-5	2.76171	
-9	10	-4	2.82322	
-9	10	-3	2.87369	
-9	10	-2	2.91103	
-9	10	-1	2.93355	
-9	10	0	2.94016	
-9	10	1	2.93055	
-9	10	2	2.90519	
-9	10	3	2.86528	
-9	10	4	2.81259	
-9	10	5	2.74929	
-9	10	6	2.67769	
-9	10	7	2.60007	
-9	10	8	2.51853	
-9	10	9	2.4349	
-9	10	10	2.35072	
-8	-10	-10	2.43485	
-8	-10	-9	2.52682	
-8	-10	-8	2.61849	
-8	-10	-7	2.70809	
-8	-10	-6	2.79349	
-8	-10	-5	2.8722	
-8	-10	-4	2.94152	
-8	-10	-3	2.99867	
-8	-10	-2	3.0411	
-8	-10	-1	3.06673	
-8	-10	0	3.07423	
-8	-10	1	3.06321	
-8	-10	2	3.03424	
-8	-10	3	2.98883	
-8	-10	4	2.92916	
-8	-10	5	2.85785	
-8	-10	6	2.77769	
-8	-10	7	2.69133	
-8	-10	8	2.60121	
-8	-10	9	2.50939	
-8	-10	10	2.41755	
-8	-9	-10	2.52818	
-8	-9	-9	2.6316	
-8	-9	-8	2.73563	
-8	-9	-7	2.83829	
-8	-9	-6	2.93707	
-8	-9	-5	3.02897	
-8	-9	-4	3.11059	
-8	-9	-3	3.17841	
-8	-9	-2	3.22906	
-8	-9	-1	3.25979	
-8	-9	0	3.26879	
-8	-9	1	3.25554	
-8	-9	2	3.22083	
-8	-9	3	3.16667	
-8	-9	4	3.09596	
-8	-9	5	3.01213	
-8	-9	6	2.9187	
-8	-9	7	2.819	
-8	-9	8	2.71593	
-8	-9	9	2.61191	
-8	-9	10	2.50882	
-8	-8	-10	2.62151	
-8	-8	-9	2.73736	
-8	-8	-8	2.85502	
-8	-8	-7	2.97231	
-8	-8	-6	3.08633	
-8	-8	-5	3.19349	
-8	-8	-4	3.28957	
-8	-8	-3	3.37009	
-8	-8	-2	3.43064	
-8	-8	-1	3.46755	
-8	-8	0	3.47839	
-8	-8	1	3.46243	
-8	-8	2	3.42075	
-8	-8	3	3.35607	
-8	-8	4	3.27225	
-8	-8	5	3.17374	
-8	-8	6	3.06501	
-8	-8	7	2.95015	
-8	-8	8	2.83263	
-8	-8	9	2.71521	
-8	-8	10	2.59994	
-8	-7	-10	2.71312	
-8	-7	-9	2.84216	
-8	-7	-8	2.97453	
-8	-7	-7	3.10788	
-8	-7	-6	3.23894	
-8	-7	-5	3.36345	
-8	-7	-4	3.47626	
-8	-7	-3	3.57167	
-8	-7	-2	3.64399	
-8	-7	-1	3.6883	
-8	-7	0	3.70134	
-8	-7	1	3.68212	
-8	-7	2	3.63212	
-8	-7	3	3.55497	
-8	-7	4	3.4558	
-8	-7	5	3.34036	
-8	-7	6	3.21429	
-8	-7	7	3.08255	
-8	-7	8	2.94922	
-8	-7	9	2.81738	
-8	-7	10	2.68922	
-8	-6	-10	2.80087	
-8	-6	-9	2.94351	
-8	-6	-8	3.09132	
-8	-6	-7	3.24183	
-8	-6	-6	3.39141	
-8	-6	-5	3.53514	
-8	-6	-4	3.66682	
-8	-6	-3	3.77931	
-8	-6	-2	3.86528	
-8	-6	-1	3.91827	
-8	-6	0	3.93391	
-8	-6	1	3.91085	
-8	-6	2	3.85109	
-8	-6	3	3.7595	
-8	-6	4	3.64279	
-8	-6	5	3.50833	
-8	-6	6	3.36311	
-8	-6	7	3.21309	
-8	-6	8	3.06293	
-8	-6	9	2.91601	
-8	-6	10	2.7746	
-8	-5	-10	2.88226	
-8	-5	-9	3.03842	
-8	-5	-8	3.20181	
-8	-5	-7	3.36994	
-8	-5	-6	3.53892	
-8	-5	-5	3.70317	
-8	-5	-4	3.85536	
-8	-5	-3	3.98674	
